id	objectName	roomName	taskName	frequency	workType	description	objectId	roomId
"cmgyu43ts00ybvyjo1ici4tq5"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Влажная или сухая уборка столов"	"Ежедневно"	"Уборка"	"Влажная или сухая уборка столов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu42k600xhvyjooind65n1"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Влажная наружная обработка шкафов"	"1 раз в 3 месяца"	"Уборка"	"Влажная наружная обработка шкафов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu42b300xbvyjoka8o27pd"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Влажная обработка дверей (локально)"	"Еженедельно"	"Уборка"	"Влажная обработка дверей (локально)"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu424y00x7vyjoy6evp84z"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Влажная обработка полов"	"ежедневно (1раз в день)"	"Уборка"	"Влажная обработка полов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5y3i0257vyjorlg2vxc9"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"влажная уборка"	"2 раза в неделю"	"Уборка"	"влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5ph201zlvyjowcizce78"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка"	"Еженедельно"	"Уборка"	"Влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5w2g023vvyjo93lsqwne"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка баннеров на входе"	"1 раз в квартал"	"Уборка"	"Влажная уборка баннеров на входе"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu43qr00y9vyjopcygv6i7"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка, дезинфекция пола"	"ежедневно (1 раз в день)"	"Уборка"	"Влажная уборка, дезинфекция пола"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu42wc00xpvyjomec8qj1x"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка, дезинфекция пола"	"Ежедневно"	"Уборка"	"Влажная уборка, дезинфекция пола"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu43hn00y3vyjoldm074nt"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Влажная уборка диспенсеров"	"Ежедневно"	"Уборка"	"Влажная уборка диспенсеров"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
